"taskId","cost_ms"
172314974,178.8000
172314975,179.6000
172314976,151.1000
172314977,172.9000
172314978,153.4000
172314979,153.2000
172314980,182.0000
172314981,175.0000
172314982,181.0000
172314983,174.2000
172314984,182.0000
172314985,213.2000
172314986,187.1000
172314987,186.3000
172314988,159.2000
172314989,184.2000
172314990,154.6000
172314991,245.0000
172314992,147.9000
172314993,189.5000
172314994,180.1000
172314995,213.3000
172314996,269.2000
172314997,262.8000
172314998,242.9000
172314999,148.1000
172315000,180.6000
172315001,174.0000
172315002,175.3000
172315003,170.0000
172315004,174.2000
172315005,184.3000
172315006,484.0000
172315007,179.4000
172315008,147.6000
172315009,187.9000
172315010,181.4000
172315011,1.5000
172315012,2.2000
172315013,1.6000
172315014,1.8000
172315015,176.6000
172315016,301.4000
172315017,149.1000
172315018,231.3000
172315019,267.0000
172315020,322.7000
172315021,303.9000
172315022,147.3000
172315023,424.1000
172315024,209.5000
172315025,295.5000
172315026,296.2000
172315027,359.2000
172315028,332.6000
172315029,209.6000
172315030,144.9000
172315031,143.4000
172315032,293.3000
172315033,261.7000
172315034,587.6000
172315035,302.9000
172315036,144.6000
172315037,306.0000
172315038,304.4000
172315039,236.5000
172315040,272.4000
172315041,299.8000
172315042,287.3000
172315043,207.2000
172315044,226.6000
172315045,310.7000
172315046,216.9000
172315047,154.2000
172315048,210.1000
172315049,177.2000
172315050,211.1000
172315051,1.6000
172315052,1.6000
172315053,1.9000
172315054,1.6000
172315055,1.4000
172315056,178.0000
172315057,126.6000
172315058,177.7000
172315059,243.1000
172315060,187.5000
172315061,180.6000
172315062,161.1000
172315063,178.3000
172315064,176.0000
172315065,733.1000
172315066,269.6000
172315067,164.7000
172315068,207.5000
172315069,355.3000
172315070,209.8000
172315071,177.0000
172315072,190.5000
172315073,155.1000
172315074,157.4000
172315075,155.0000
172315076,155.4000
172315077,399.7000
172315078,210.0000
172315079,208.7000
172315080,1.6000
172315081,1.1000
172315082,1.4000
172315083,1.2000
172315084,1.5000
172315085,130.2000
172315086,183.1000
172315087,182.8000
172315088,155.1000
172315089,176.5000
172315090,171.4000
172315091,176.5000
172315092,388.1000
172315093,186.2000
172315094,211.0000
172315095,177.2000
172315096,182.9000
172315097,191.3000
172315098,150.9000
172315099,150.3000
172315100,151.6000
172315101,157.6000
172315102,432.6000
172315103,336.4000
172315104,327.1000
172315105,359.7000
172315106,361.0000
172315107,337.1000
172315108,326.2000
172315109,190.5000
172315110,1.2000
172315111,1.3000
172315112,1.3000
172315113,1.3000
172315114,181.5000
172315115,179.6000
172315116,189.6000
172315117,173.1000
172315118,206.3000
172315119,167.8000
172315120,174.8000
172315121,552.6000
172315122,184.4000
172315123,211.2000
172315124,180.4000
172315125,174.3000
172315126,208.8000
172315127,210.5000
172315128,142.8000
172315129,141.0000
172315130,143.6000
172315131,261.7000
172315132,144.8000
172315133,204.6000
172315134,210.2000
172315135,214.4000
172315136,145.0000
172315137,203.0000
172315138,183.1000
172315139,1.4000
172315140,1.6000
172315141,1.3000
172315142,264.5000
172315143,525.8000
172315144,266.5000
172315145,269.4000
172315146,241.4000
172315147,423.5000
172315148,1122.0000
172315149,147.3000
172315150,177.4000
172315151,143.1000
172315152,213.0000
172315153,190.5000
172315154,204.7000
172315155,180.5000
172315156,147.5000
172315157,171.1000
172315158,177.8000
172315159,171.2000
172315160,169.8000
172315161,177.3000
172315162,185.5000
172315163,176.9000
172315164,204.4000
172315165,210.0000
172315166,175.1000
172315167,182.4000
172315168,173.4000
172315169,181.3000
172315170,238.7000
172315171,450.6000
172315172,293.6000
172315173,151.3000
172315174,338.0000
172315175,263.0000
172315176,352.6000
172315177,304.0000
172315178,145.1000
172315179,211.2000
172315180,147.5000
172315181,147.7000
172315182,147.3000
172315183,145.9000
172315184,146.4000
172315185,184.7000
172315186,249.3000
172315187,175.8000
172315188,181.5000
172315189,176.6000
172315190,144.6000
172315191,251.9000
172315192,246.8000
172315193,1.3000
172315194,389.1000
172315195,152.7000
172315196,365.3000
172315197,266.5000
172315198,213.7000
172315199,176.3000
172315200,173.8000
172315201,213.7000
172315202,210.6000
172315203,147.2000
172315204,246.8000
172315205,178.7000
172315206,207.0000
172315207,205.0000
172315208,183.0000
172315209,234.4000
172315210,147.9000
172315211,225.1000
172315212,145.2000
172315213,152.2000
172315214,176.0000
172315215,1.4000
172315216,1.6000
172315217,1.6000
172315218,1.5000
172315219,1.6000
172315220,1.6000
172315221,1.6000
172315222,1.6000
172315223,1.5000
172315224,160.5000
172315225,177.9000
172315226,150.3000
172315227,188.8000
172315228,362.3000
172315229,316.4000
172315230,313.1000
172315231,284.4000
172315232,276.3000
172315233,289.1000
172315234,305.6000
172315235,147.8000
172315236,300.9000
172315237,273.8000
172315238,222.2000
172315239,278.0000
172315240,433.9000
172315241,199.0000
172315242,179.9000
172315243,207.2000
172315244,204.1000
172315245,491.9000
172315246,186.6000
172315247,177.5000
172315248,184.8000
172315249,363.2000
172315250,212.0000
172315251,204.9000
172315252,215.3000
172315253,219.5000
172315254,238.4000
172315255,216.5000
172315256,183.6000
172315257,221.5000
172315258,180.9000
172315259,281.7000
172315260,180.7000
172315261,462.7000
172315262,203.3000
172315263,471.3000
172315264,465.2000
172315265,184.2000
172315266,1.5000
172315267,1.5000
172315268,1.7000
172315269,1.6000
172315270,1.7000
172315271,1.6000
172315272,1.6000
172315273,1.9000
172315274,2.1000
172315275,492.4000
172315276,145.7000
172315277,209.8000
172315278,186.2000
172315279,320.9000
172315280,181.2000
172315281,208.3000
172315282,211.6000
172315283,179.7000
172315284,169.0000
172315285,207.3000
172315286,432.1000
172315287,180.9000
172315288,209.4000
172315289,201.1000
172315290,1.3000
172315291,1.6000
172315292,1.7000
172315293,1.4000
172315294,1.8000
172315295,1.6000
172315296,1.5000
172315297,1.5000
172315298,2.0000
172315299,1.4000
172315300,1.6000
172315301,203.8000
172315302,204.9000
172315303,146.9000
172315304,128.1000
172315305,215.3000
172315306,211.9000
172315307,151.5000
172315308,196.7000
172315309,149.5000
172315310,489.6000
172315311,118.7000
172315312,184.7000
172315313,1.4000
172315314,1.3000
172315315,1.5000
172315316,1.6000
172315317,1.7000
172315318,1.7000
172315319,1.3000
172315320,1.4000
172315321,1.4000
172315322,1.2000
172315323,238.2000
172315324,278.7000
172315325,200.7000
172315326,176.8000
172315327,220.6000
172315328,239.1000
172315329,183.7000
172315330,152.4000
172315331,132.1000
172315332,212.2000
172315333,215.4000
172315334,389.4000
172315335,1.5000
172315336,2.6000
172315337,2.0000
172315338,2.1000
172315339,183.8000
172315340,329.4000
172315341,239.0000
172315342,207.1000
172315343,211.1000
172315344,173.6000
172315345,176.1000
172315346,1.6000
172315347,1.5000
172315348,1.6000
172315349,1.4000
172315350,1.4000
172315351,1.5000
172315352,2.0000
172315353,205.0000
172315354,180.2000
172315355,308.3000
172315356,202.1000
172315357,1.5000
172315358,1.5000
172315359,1.2000
172315360,154.8000
172315361,184.7000
172315362,218.3000
172315363,1.5000
172315364,1.3000
172315365,1.5000
172315366,1.6000
172315367,207.9000
172315368,1.1000
172315369,1.7000
172315370,1.3000
172315371,243.0000
172315372,1.6000
172315373,189.1000
172315374,182.2000
172315375,330.8000
172315376,236.0000
172315377,147.7000
172315378,1.5000
172315379,243.1000
172315380,183.3000
172315381,233.0000
172315382,146.7000
172315383,159.3000
172315384,150.9000
172315385,160.6000
172315386,153.5000
172315387,176.1000
172315388,177.3000
172315389,120.6000
172315390,1.1000
172315391,242.7000
172315392,189.4000
172315393,210.6000
172315394,150.9000
172315395,215.5000
172315396,211.3000
172315397,153.0000
172315398,154.3000
172315399,149.5000
172315400,1.8000
172315401,1.4000
172315402,1.4000
172315403,1.4000
172315404,1.9000
172315405,1.7000
172315406,1.7000
172315407,1.7000
172315408,233.1000
172315409,131.8000
172315410,148.0000
172315411,178.6000
172315412,176.4000
172315413,169.3000
172315414,149.9000
172315415,214.2000
172315416,1.5000
172315417,1.7000
172315418,1.6000
172315419,252.9627
172315420,184.4000
172315421,189.4000
172315422,146.8000
172315423,148.3000
172315424,152.5000
172315425,236.0000
172315426,1.5000
172315427,1.3000
172315428,274.3000
172315429,144.6000
172315430,180.7000
172315431,178.3000
172315432,286.6000
172315433,316.7000
172315434,1.4000
172315435,1.2000
172315436,1.2000
172315437,230.7000
172315438,181.6000
172315439,150.2000
172315440,175.2000
172315441,1.6000
172315442,1.4000
172315443,1.4000
172315444,258.2000
172315445,207.3000
172315446,1.6000
172315447,1.7000
172315448,1.4000
172315449,1.3000
172315450,249.5000
172315451,1.3000
172315452,238.8000
172315453,1.6000
