"nodeId","order","cost_ms"
task-165,2,6323.0000
task-166,2,2834.0000
task-167,2,3708.0000
task-168,2,2430.0000
task-169,2,3559.0000
task-170,2,2660.0000
task-171,2,2277.0000
task-172,2,68.0000
task-173,2,129.0000
task-174,3,2666.6800
task-175,3,2660.0100
task-176,3,6869.0000
task-177,3,4253.0000
task-178,3,2008.0000
task-179,3,5540.0000
task-180,3,2447.0000
task-181,3,2834.0000
task-182,3,3689.0000
task-183,3,2965.0000
task-184,3,2615.0000
task-185,3,5865.0000
task-186,3,2790.0000
task-187,3,3181.0000
task-188,3,4218.0000
task-189,3,4559.0000
task-190,3,5468.0000
task-191,3,5376.0000
task-192,3,1897.0000
task-193,3,4062.0000
task-194,3,4971.0000
task-195,3,4746.0000
task-196,3,51.0000
task-197,3,80.0000
task-198,3,22.0000
task-199,3,76.0000
task-200,3,94.0000
task-201,3,74.0000
task-202,3,99.0000
task-203,3,138.0000
task-204,3,88.0000
task-205,3,135.0000
task-206,3,39.0000
task-207,4,2982.0000
task-208,4,1817.0000
task-209,4,1872.0000
task-210,4,2123.0000
task-211,4,1798.0000
task-212,4,1842.0000
task-213,4,1743.0000
task-214,4,1287.0000
task-215,4,1836.0000
task-216,4,1804.0000
task-217,4,1625.0000
task-218,4,1314.0000
task-219,4,1872.0000
task-220,4,1608.0000
task-221,4,1827.0000
task-222,4,1555.0000
task-223,4,1623.0000
task-224,4,1907.0000
task-225,4,2172.0000
task-226,4,1573.0000
task-227,4,1261.0000
task-228,4,1811.0000
task-229,4,1883.0000
task-230,4,2409.0000
task-231,4,1528.0000
task-232,4,1817.0000
task-233,4,1793.0000
task-234,4,1834.0000
task-235,4,1902.0000
task-236,4,1782.0000
task-237,4,2307.0000
task-238,4,3552.0000
task-239,4,1767.0000
task-240,4,1475.0000
task-241,4,1588.0000
task-242,4,1826.0000
task-243,4,67.0000
task-244,4,60.0000
task-245,4,74.0000
task-246,4,115.0000
task-247,4,40.0000
task-248,5,1979.0000
task-249,5,4822.0000
task-250,5,1620.0000
task-251,5,2190.0000
task-252,5,2528.0000
task-253,5,3287.0000
task-254,5,2734.0000
task-255,5,1533.0000
task-256,5,4669.0000
task-257,5,3770.0000
task-258,5,2005.0000
task-259,5,2079.0000
task-260,5,2812.0000
task-261,5,2751.0000
task-262,5,4403.0000
task-263,5,3327.0000
task-264,5,5425.0000
task-265,5,1511.0000
task-266,5,2885.0000
task-267,5,3177.0000
task-268,5,3140.0000
task-269,5,1541.0000
task-270,5,2481.0000
task-271,5,2477.0000
task-272,5,3014.0000
task-273,5,3096.0000
task-274,5,2857.0000
task-275,5,1598.0000
task-276,5,1798.0000
task-277,5,1862.0000
task-278,5,2316.0000
task-279,5,28.0000
task-280,5,16.0000
task-281,5,21.0000
task-282,5,28.0000
task-283,5,27.0000
task-284,6,1889.0000
task-285,6,1474.0000
task-286,6,1958.0000
task-287,6,2670.0000
task-288,6,1876.0000
task-289,6,1915.0000
task-290,6,3138.0000
task-291,6,2155.0000
task-292,6,1642.0000
task-293,6,1894.0000
task-294,6,6333.0000
task-295,6,2179.0000
task-296,6,4722.0000
task-297,6,1431.0000
task-298,6,1709.0000
task-299,6,1879.0000
task-300,6,1583.0000
task-301,6,1426.0000
task-302,6,1353.0000
task-303,6,1558.0000
task-304,6,3948.0000
task-305,6,2104.0000
task-306,6,2963.0000
task-307,6,41.0000
task-308,6,33.0000
task-309,6,36.0000
task-310,6,27.0000
task-311,6,28.0000
task-312,7,1499.0000
task-313,7,2543.0000
task-314,7,2196.0000
task-315,7,1888.0000
task-316,7,2886.0000
task-317,7,2610.0000
task-318,7,2162.0000
task-319,7,2361.0000
task-320,7,4258.0000
task-321,7,2196.0000
task-322,7,1480.0000
task-323,7,1790.0000
task-324,7,1470.0000
task-325,7,1600.0000
task-326,7,1566.0000
task-327,7,1503.0000
task-328,7,4009.0000
task-329,7,2756.0000
task-330,7,3358.0000
task-331,7,3800.0000
task-332,7,3095.0000
task-333,7,3039.0000
task-334,7,2612.0000
task-335,7,15.0000
task-336,7,26.0000
task-337,7,17.0000
task-338,7,33.0000
task-339,8,1800.0000
task-340,8,1521.0000
task-341,8,1550.0000
task-342,8,4218.0000
task-343,8,1765.0000
task-344,8,1702.0000
task-345,8,1709.0000
task-346,8,2097.0000
task-347,8,3898.0000
task-348,8,1754.0000
task-349,8,1477.0000
task-350,8,1777.0000
task-351,8,2302.0000
task-352,8,1458.0000
task-353,8,1464.0000
task-354,8,1423.0000
task-355,8,4254.0000
task-356,8,1422.0000
task-357,8,4823.0000
task-358,8,1387.0000
task-359,8,1489.0000
task-360,8,4461.0000
task-361,8,3177.0000
task-362,8,19.0000
task-363,8,16.0000
task-364,8,16.0000
task-365,9,2428.0000
task-366,9,11147.0000
task-367,9,3682.0000
task-368,9,9536.0000
task-369,9,1786.0000
task-370,9,1918.0000
task-371,9,1872.0000
task-372,9,2224.0000
task-373,9,1929.0000
task-374,9,1785.0000
task-375,9,1548.0000
task-376,9,2027.0000
task-377,9,2058.0000
task-378,9,1707.0000
task-379,9,2016.0000
task-380,9,2077.0000
task-381,9,1942.0000
task-382,9,1971.0000
task-383,9,1853.0000
task-384,9,1996.0000
task-385,9,1770.0000
task-386,9,2773.0000
task-387,10,1538.0000
task-388,10,2754.0000
task-389,10,2775.0000
task-390,10,3518.0000
task-391,10,3015.0000
task-392,10,1641.0000
task-393,10,1498.0000
task-394,10,1537.0000
task-395,10,1544.0000
task-396,10,1233.0000
task-397,10,1819.0000
task-398,10,2471.0000
task-399,10,2057.0000
task-400,10,1780.0000
task-401,10,1478.0000
task-402,10,1781.0000
task-403,10,14.0000
task-404,10,18.0000
task-405,11,1494.0000
task-406,11,3533.0000
task-407,11,3569.0000
task-408,11,2334.0000
task-409,11,1495.0000
task-410,11,1520.0000
task-411,11,1484.0000
task-412,11,1725.0000
task-413,11,1462.0000
task-414,11,2417.0000
task-415,11,1480.0000
task-416,11,1776.0000
task-417,11,1568.0000
task-418,11,2237.0000
task-419,11,1791.0000
task-420,11,1457.0000
task-421,11,1482.0000
task-422,11,2000.0000
task-423,11,1749.0000
task-424,11,1758.0000
task-425,11,1474.0000
task-426,11,1751.0000
task-427,11,19.0000
task-428,11,17.0000
task-429,11,16.0000
task-430,11,16.0000
task-431,11,20.0000
task-432,11,14.0000
task-433,12,2042.0000
task-434,12,3559.0000
task-435,12,1762.0000
task-436,12,3916.0000
task-437,12,3061.0000
task-438,12,2771.0000
task-439,12,2742.0000
task-440,12,2803.0000
task-441,12,2767.0000
task-442,12,1438.0000
task-443,12,2747.0000
task-444,12,3382.0000
task-445,12,1909.0000
task-446,12,1739.0000
task-447,12,1526.0000
task-448,12,2542.0000
task-449,12,3970.0000
task-450,12,3989.0000
task-451,12,1738.0000
task-452,12,2060.0000
task-453,12,3618.0000
task-454,12,16.0000
task-455,12,25.0000
task-456,13,2155.0000
task-457,13,3703.0000
task-458,13,2154.0000
task-459,13,2057.0000
task-460,13,2047.0000
task-461,13,2172.0000
task-462,13,2165.0000
task-463,13,2236.0000
task-464,13,1792.0000
task-465,13,2092.0000
task-466,13,1552.0000
task-467,13,2132.0000
task-468,13,1738.0000
task-469,13,1774.0000
task-470,13,1531.0000
task-471,13,1792.0000
task-472,13,3953.0000
task-473,13,3644.0000
task-474,13,1498.0000
task-475,13,2190.0000
task-476,13,14.0000
task-477,13,16.0000
task-478,13,16.0000
task-479,13,14.0000
task-480,13,14.0000
task-481,13,18.0000
task-482,13,24.0000
task-483,13,22.0000
task-484,13,19.0000
task-485,13,18.0000
task-486,14,1576.0000
task-487,14,2693.0000
task-488,14,2048.0000
task-489,14,1937.0000
task-490,14,1809.0000
task-491,14,2170.0000
task-492,14,1756.0000
task-493,14,2142.0000
task-494,14,1882.0000
task-495,14,17.0000
task-496,14,21.0000
task-497,14,15.0000
task-498,14,17.0000
task-499,14,16.0000
task-500,14,16.0000
task-501,14,20.0000
task-502,14,20.0000
task-503,14,17.0000
task-504,14,14.0000
task-505,14,20.0000
task-506,14,20.0000
task-507,14,20.0000
task-508,14,20.0000
task-509,14,21.0000
task-510,15,4619.0000
task-511,15,5173.0000
task-512,15,1497.0000
task-513,15,1619.0000
task-514,15,4509.0000
task-515,15,3026.0000
task-516,15,3034.0000
task-517,15,19.0000
task-518,15,15.0000
task-519,15,15.0000
task-520,15,18.0000
task-521,16,1494.0000
task-522,16,2959.0000
task-523,16,2013.0000
task-524,16,2407.0000
task-525,16,2091.0000
task-526,16,1214.0000
task-527,16,5217.0000
task-528,16,13.0000
task-529,16,14.0000
task-530,17,1592.0000
task-531,17,1507.0000
task-532,17,1932.0000
task-533,17,1244.0000
task-534,17,16.0000
task-535,17,23.0000
task-536,17,15.0000
task-537,18,3631.0000
task-538,18,2749.0000
task-539,18,1510.0000
task-540,18,29.0000
task-541,19,1880.0000
task-542,19,3777.0000
task-543,19,2179.0000
task-544,19,2696.0000
task-545,19,14.0000
task-546,20,1522.0000
task-547,20,2096.0000
task-548,20,20.0000
task-549,20,19.0000
task-550,21,1513.0000
task-551,21,1864.0000
task-552,21,1796.0000
task-553,21,19.0000
task-554,21,20.0000
task-555,22,1811.0000
task-556,22,16.0000
task-557,22,16.0000
task-558,22,16.0000
task-559,23,2011.0000
task-560,23,16.0000
task-561,24,1834.0000
task-562,25,3925.0000
task-563,26,1831.0000
task-564,26,1285.0000
task-565,26,19.0000
task-566,27,1839.0000
task-567,27,1869.0000
task-568,27,2029.0000
task-569,27,1496.0000
task-570,27,1480.0000
task-571,27,1521.0000
task-572,27,1476.0000
task-573,27,1479.0000
task-574,27,1823.0000
task-575,27,1488.0000
task-576,27,1231.0000
task-577,27,25.0000
task-578,28,2439.0000
task-579,28,1535.0000
task-580,28,2160.0000
task-581,28,1568.0000
task-582,28,1757.0000
task-583,28,2180.0000
task-584,28,1573.0000
task-585,28,1415.0000
task-586,28,1612.0000
task-587,28,19.0000
task-588,28,18.0000
task-589,28,14.0000
task-590,28,19.0000
task-591,28,20.0000
task-592,28,19.0000
task-593,28,18.0000
task-594,28,14.0000
task-595,29,2170.0000
task-596,29,1523.0000
task-597,29,2085.0000
task-598,29,1833.0000
task-599,29,1742.0000
task-600,29,1844.0000
task-601,29,2429.0000
task-602,29,13.0000
task-603,29,16.0000
task-604,29,13.0000
task-605,30,1773.0000
task-606,30,1637.0000
task-607,30,1495.0000
task-608,30,1486.0000
task-609,30,1480.0000
task-610,30,2397.0000
task-611,30,13.0000
task-612,30,16.0000
task-613,31,2595.0000
task-614,31,1526.0000
task-615,31,1702.0000
task-616,31,1822.0000
task-617,31,2631.0000
task-618,31,2650.0000
task-619,31,18.0000
task-620,31,20.0000
task-621,32,2325.0000
task-622,32,1761.0000
task-623,32,2091.0000
task-624,32,16.0000
task-625,32,16.0000
task-626,32,14.0000
task-627,32,13.0000
task-628,33,2663.0000
task-629,33,1790.0000
task-630,33,13.0000
task-631,33,14.0000
task-632,33,16.0000
task-633,34,2990.0000
task-634,34,14.0000
task-635,35,2442.0000
task-636,36,21.0000
